ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc
189,362420.6275,10170110.24,1.538676192,103.7632625,-132.5332258,-9.006666667,-21.80666667,1,
190,362430.6275,10170110.24,1.538676245,103.7633524,-132.6762571,-9.006666667,-21.80666667,1,
191,362440.6275,10170110.24,1.538676297,103.7634422,-132.8709346,-9.006666667,-21.80666667,1,
192,362450.6275,10170110.24,1.53867635,103.7635321,-133.0772595,-9.506666667,-24.9,1,
193,362460.6275,10170110.24,1.538676402,103.763622,-133.3152529,-9.506666667,-24.9,1,
194,362470.6275,10170110.24,1.538676455,103.7637119,-133.5649606,-9.506666667,-24.9,1,
195,362480.6275,10170110.24,1.538676507,103.7638018,-133.8364584,-9.506666667,-24.9,1,
196,362490.6275,10170110.24,1.538676559,103.7638916,-134.109858,-10.455,-25.435,1,
197,362500.6275,10170110.24,1.538676612,103.7639815,-134.4053113,-10.455,-25.435,1,
198,362510.6275,10170110.24,1.538676664,103.7640714,-134.7330162,-10.455,-25.435,1,
199,362520.6275,10170110.24,1.538676717,103.7641613,-135.0832203,,,,
200,362530.6275,10170110.24,1.538676769,103.7642511,-135.4662259,,,,
201,362540.6275,10170110.24,1.538676821,103.764341,-135.8723934,,,,
202,362550.6275,10170110.24,1.538676874,103.7644309,-136.7221448,,,,
203,362560.6275,10170110.24,1.538676926,103.7645208,-137.1859666,,,,
204,362570.6275,10170110.24,1.538676979,103.7646107,-137.6844125,,,,
205,362580.6275,10170110.24,1.538677031,103.7647005,-138.2181049,,,,
206,362590.6275,10170110.24,1.538677083,103.7647904,-138.7577371,,,,
207,362600.6275,10170110.24,1.538677136,103.7648803,-139.3140739,,,,
208,362610.6275,10170110.24,1.538677188,103.7649702,-139.8879525,,,,
209,362240.6275,10170100.24,1.538584797,103.7616447,-138.8188614,,,,
210,362250.6275,10170100.24,1.538584849,103.7617346,-138.1403936,,,,
211,362260.6275,10170100.24,1.538584902,103.7618245,-137.1034559,,,,
212,362270.6275,10170100.24,1.538584954,103.7619144,-136.5380771,,,,
213,362280.6275,10170100.24,1.538585007,103.7620042,-135.6643028,,,,
214,362290.6275,10170100.24,1.538585059,103.7620941,-135.1821898,,,,
